,Title,Published_date,Views,Likes,Comments,Month
77,Mah Homie ❤️,2022-03-06,92191,15739,757,Mar
78,Buying a New Car 😍,2022-03-03,117650,12001,104,Mar
79,"PropNight with Carryminati, Tanmay Bhatt, GamerFleet, Gareeboo & Daddy Cool",2022-02-23,143910,12086,86,Feb
80,Upgraded my PC with the fastest SSD ft. WD_Black | Reboot time just got shorter!,2022-02-19,22475,4077,222,Feb
81,12 Games in 12 Hours,2022-02-09,67752,11001,259,Feb
82,Long Valorant Live Stream India With Streamers,2022-02-03,251903,19244,139,Feb
83,Just Chatting With Friends !!,2022-01-23,136611,13411,117,Jan
84,SHROUD vs RAKAZONE GAMING #Shorts,2022-01-15,107659,18357,643,Jan
85,Completed 6 Years On YouTube,2022-01-14,126542,15727,104,Jan
86,Pickup Line on Girl Went Wrong,2022-01-09,66345,8697,169,Jan
87,When I met her for the first time,2022-01-05,155991,14822,109,Jan
88,Uninvited Guest | New Horror Game Live Stream India,2021-12-28,86513,8216,121,Dec
89,How To Bully Female Streamers Part 3,2021-12-26,118405,13376,138,Dec
90,"Collaboration Stream Pt. 2 with Carryminati, GamerFleet, Gareeboo & DaddyCool",2021-12-23,141229,12564,57,Dec
91,"Collaboration Stream with Carryminati, GamerFleet, Gareeboo & DaddyCool",2021-12-22,138213,12022,67,Dec
92,Mom & Daughter Discussing Marriage Options,2021-12-19,223203,12320,63,Dec
93,Spider Man You Actually Need,2021-12-15,54532,8949,193,Dec
94,Indian Valorant Custom Lobby Be Like Part 2,2021-12-12,128608,15502,275,Dec
95,How to make Money on YouTube,2021-12-10,169083,17266,111,Dec
96,Celebrating Ankkita’s Birthday 🥳,2021-12-09,311674,25559,146,Dec
97,Aim Toh Hai *Valorant India*,2021-12-08,58981,9952,246,Dec
98,12 Hours 12 Different Games,2021-12-05,261271,19240,135,Dec
99,How to get a Girl’s Number #Shorts,2021-12-04,57215,7689,75,Dec
100,Trolling Indian Streamers 😂 😂 | Funny Highlights,2021-12-01,84534,11606,199,Dec
101,Appreciating The Cuteness 🌝  #Shorts,2021-11-30,161735,16660,241,Nov
102,* They all got Triggered * Valorant India Custom Lobby,2021-11-28,152077,17446,152,Nov
103,When Boys Find Female Gamer #Shorts,2021-11-24,69653,8433,65,Nov
104,I Started My Own Gas Station Business | Gas Station Simulator *Funny Moments*,2021-11-21,56834,9716,201,Nov
105,Tongue Twister Of The Day #Shorts,2021-11-20,51329,7505,166,Nov
106,Robbing Biggest Jewellery Shop *EPIC GTA 5 Heist 😱*,2021-11-14,92801,13083,196,Nov
107,Mr. Marlega - The Untold Story | Episode 4 (GTA 5 Cinematics),2021-11-07,104522,14615,827,Nov
108,How To Bully Female Streamers Part 2,2021-11-05,136857,14199,156,Nov
109,Tbone & Fa2 are Good Freinds 😂😂 #Shorts,2021-11-03,152258,16382,103,Nov
110,Indian Valorant Custom Lobby Be Like,2021-10-31,209928,22139,308,Oct
111,Awaaz a rha hai Bro ?? #Shorts,2021-10-27,100006,14380,43,Oct
112,T20 World Cup 2021 India vs Pakistan Cricket Match Highlights,2021-10-24,40018,7059,316,Oct
113,Playing in India's biggest tournament on PokerBaazi with a prize pool of 5CR,2021-10-22,61684,7289,22,Oct
114,Never Celebrate Too Early ft. @8bit Binks69,2021-10-22,61084,11412,328,Oct
115,We Found a HACKER in Battlegrounds ? ft @CarryMinati,2021-10-18,89104,13619,222,Oct
116,How to Earn $20 EASILY on YouTube,2021-10-13,49443,9062,198,Oct
117,How to Impress Girls in GTA 5 RP,2021-10-10,108580,15140,332,Oct
118,You Lose You Dance,2021-10-01,58995,10131,175,Oct
119,Real Immortals 😂 #Shorts,2021-09-28,127972,13134,115,Sep
120,Omegle Funny Moments Ft. Carryminati & Gareeb,2021-09-25,194095,24598,252,Sep
121,How to win UNO #Shorts,2021-09-24,134845,12622,189,Sep
122,Voh Ayegi Nahi 💔,2021-09-22,105522,15594,812,Sep
123,She tried doing Shayari in front of Boys #Shorts,2021-09-20,96394,11888,221,Sep
124,MS Dhoni Opening For Chennai in IPL 2021 | Cricket Gameplay,2021-09-19,42530,7559,381,Sep
125,Unveiling The Wicked Ride with TVS | Watchparty,2021-09-16,48321,7378,114,Sep
126,Getting Scared For 12 Minutes Straight,2021-09-15,58468,9311,366,Sep
127,Spending a weekend with Professional YouTubers | Vlog #4,2021-09-12,138076,18163,558,Sep
128,"""Why you guys Laughing"" | Indian YouTubers made me Angry",2021-09-10,139189,15090,356,Sep
129,Got Emotional After His First Fan Moment | Vlog #3,2021-09-05,171344,29428,1264,Sep
130,69 is the Key,2021-09-02,58605,9169,349,Sep
131,IRL ft. Pro Streamers,2021-08-31,151142,18423,114,Aug
132,Duos with a Pro Girl Gamer | BGMI Funny Moments,2021-08-30,101703,14009,425,Aug
133,My First BGMI Win | BGMI Funny Moments & Highlights,2021-08-28,55803,10860,538,Aug
134,How I got Banned in Battlegrounds India,2021-08-26,82965,12753,390,Aug
135,Carryminati has Trust Issues now | @CarryMinati,2021-08-23,124601,15738,266,Aug
136,Beach Vacation With Indian YouTubers | Vlog #2,2021-08-22,140642,21953,737,Aug
137,गाज़ियाबाद Ka Valorant Pro,2021-08-14,96612,15509,752,Aug
138,"We entered a Haunted House Ft Carryminati, Gareeboo & Daddy Cool | Pacify New Update",2021-08-06,95780,12715,254,Aug
139,Aggresive Raze Gameplay ft. Ghaziabad Flights,2021-08-04,49193,8762,330,Aug
140,Samay Raina taught me How to play Chess,2021-07-30,57268,10424,404,Jul
141,Loneliness - Episode 3 | Mr. Marlega The Untold Story (GTA 5 Cinematics),2021-07-26,89557,14708,926,Jul
142,RTX 3080 on a Gaming Laptop 😲😲,2021-07-23,164755,8329,560,Jul
143,My First Vlog | Meeting Indian YouTubers In Mumbai,2021-07-18,297790,45663,1958,Jul
144,Live From a Private Beach,2021-07-17,200145,24436,383,Jul
145,She Broke Her Mouse In Rage 😡,2021-07-15,163150,20189,504,Jul
146,Mr. Marlega - The Untold Story | Episode 2 (GTA 5 Cinematics),2021-07-04,133273,20109,2035,Jul
147,Almost Got Arrested after a Subscriber Meetup | GTA 5 Funny Moments,2021-07-03,92936,13330,354,Jul
148,Wonder Woman Loves Superman,2021-06-27,39209,6269,211,Jun
149,Mr. Marlega - The Untold Story | Episode 1 (GTA 5 Cinematics),2021-06-20,167940,25130,2416,Jun
150,Mr. Marlega - The Untold Story | Official Trailer 2021,2021-06-15,124044,21763,3211,Jun
151,Carryminati Epic Reaction,2021-06-10,223792,16134,368,Jun
152,Easiest Pickup Line #Shorts,2021-06-05,268995,27255,717,Jun
153,How RakaZone Gaming plays Chess,2021-06-01,56095,8976,401,Jun
154,Bache Ki Jaan Levegi 😍,2021-05-29,145310,19155,3265,May
155,Why you should never believe your friends,2021-05-25,81779,12802,309,May
156,5 Years of RakaZone Gaming,2021-05-23,79709,20137,1225,May
157,"Funny Moments Ft. Carryminati, Gareeb & Friends",2021-05-22,178250,20681,413,May
158,Clean Win-94 Shots PUBG India Gameplay,2021-05-21,95831,11179,365,May
159,He regrets for What he said 😎,2021-05-19,107364,15284,286,May
160,"Buying $4,00,000/- Tesla Cybertruck | GTA 5 Gameplay",2021-05-13,81463,11990,424,May
161,Resident Evil Village Gameplay Walkthrough Final Part  | Resident Evil 8,2021-05-09,407873,19744,219,May
162,Never Underestimate Your Teammate,2021-05-09,93419,14930,569,May
163,This is Why Mumbai Indians win IPL seasons,2021-05-02,447110,26523,1270,May
164,When Girls Play GTA 5,2021-04-26,114604,16416,498,Apr
165,My Viewers gifted me Expensive Cars,2021-04-23,89030,12743,449,Apr
166,Girlfriend/Boyfriend Roleplay Ft. Carryminati & Gareeboo,2021-04-21,71319,11207,244,Apr
167,Instagram Trend which does not make sense,2021-04-19,101150,18232,743,Apr
168,YouTube is listening everything 😱😲,2021-04-17,91462,12998,405,Apr
169,"My first $850,000/- new car in GTA 5 RP (Hindi)",2021-04-15,92587,16906,1304,Apr
170,How YouTube Recommendation works in India,2021-04-13,65435,11724,344,Apr
171,How to Impress your Female Neighbours,2021-04-11,215289,28150,928,Apr
172,1v4 ? Not a Problem,2021-04-05,45337,7344,265,Apr
173,They bullied me so I took revenge,2021-04-03,281879,26133,503,Apr
174,3 Balls 6 Runs Intense Last Over,2021-03-29,117583,10564,366,Mar
175,New FREE Mobile Game - Crash Bandicoot: On the Run,2021-03-26,39447,7292,951,Mar
176,India vs England 2021 Amazing Catch Highlights Cricket #Shorts,2021-03-24,158041,8719,201,Mar
177,Pros Don't Fake,2021-03-21,61543,9455,206,Mar
178,Fishing in GTA 5 Went WRONG,2021-03-17,85218,12756,323,Mar
179,Taking Revenge From GTA 5 Police Officer,2021-03-13,85150,12976,626,Mar
180,Carryminati is the real Angel Priya #Shorts,2021-03-06,191829,16399,256,Mar
181,I got lot of Graphic Cards,2021-03-02,53720,7395,271,Mar
182,GTA 5 Funny Moments & Epic Fails Of The Week #3,2021-02-27,145096,16995,541,Feb
183,BREACH Does Not Like VIPER,2021-02-26,47846,6886,160,Feb
184,"PUBG moments ft. CarryMinati, Gareeb & Daddy Cool",2021-02-22,69547,9331,262,Feb
185,Charity Stream For Children's Education & Healthcare,2021-02-20,354448,22764,536,Feb
186,That's what she said,2021-02-17,120597,14768,273,Feb
187,How To Bully Female Streamers,2021-02-14,209197,22787,453,Feb
188,@CarryMinati helped me finding a Valentine ❤️,2021-02-13,90178,12514,301,Feb
189,When Gamer Tries Singing,2021-02-11,79770,11904,746,Feb
190,My first day as HITMAN,2021-02-09,69506,8951,212,Feb
191,"GTA 5 Funny Moments ft. @CarryMinati, @Total Gaming , @Gareeb",2021-02-07,168392,17208,242,Feb
192,How can PUBG mobile streamers get the same viewership,2021-02-04,76696,10761,569,Feb
193,Why you should watch my Live Stream,2021-02-02,74874,12900,360,Feb
194,How to download Minecraft RTX on your PC & Laptop,2021-01-31,32729,5576,309,Jan
195,Reacting On Streamers Personal Photos,2021-01-30,127891,17094,378,Jan
196,Amazing Gaming Experience ft. Cyberpunk 2077,2021-01-26,34102,6296,341,Jan
197,Hitting a Longest Six in Cricket,2021-01-23,132528,10833,237,Jan
198,"How I made ₽5,00,000/- in 5 mins",2021-01-16,68281,8893,210,Jan
199,GTA 5 Funny Moments & Epic Fails Of The Week #2,2021-01-09,159598,15791,304,Jan
200,RakaZone Gaming Reacting On Internet,2020-12-31,163136,16512,317,Dec
201,Indian Record - 78 Kills in a one game,2020-12-25,47396,7492,297,Dec
202,T20 Became a Test Match,2020-12-20,178624,12083,186,Dec
203,Fastest SSD By WD_Black,2020-12-16,17371,3767,219,Dec
204,GTA 5 Funny Moments & Epic Fails Of The Week #1,2020-12-12,179862,17599,356,Dec
205,Filing a Court Case Against Police - GTA 5 RP Gameplay,2020-12-09,126409,13827,339,Dec
206,Departure,2020-12-05,32085,5919,346,Dec
207,How to be 3rd IMPOSTER in Among Us,2020-11-30,58875,7662,129,Nov
208,2 Runs in 1 Ball,2020-11-22,106263,8188,212,Nov
209,1 Ghost 4 Friends Ultimate Fun 😂😂,2020-11-16,50367,6942,178,Nov
210,Police Escape Went Wrong In GTA 5,2020-11-14,91319,11127,153,Nov
211,Revenge Taken - Assassin's Creed Valhalla Part 5,2020-11-11,19734,3617,286,Nov
212,The Priceless Gift - Assassin's Creed Valhalla Part 4,2020-11-10,24246,3710,345,Nov
213,A Horrible Dream - Assassin's Creed Valhalla Part 3,2020-11-09,29161,4349,383,Nov
214,This Should Be Changed in Among Us,2020-11-08,72209,9791,294,Nov
215,No Losses In This Fight - Assassin's Creed Valhalla Part 2,2020-11-08,33830,4919,290,Nov
216,The Betrayal - Assassin's Creed Valhalla Gameplay Part 1,2020-11-07,43053,7875,724,Nov
217,SKYE.exe,2020-11-06,87141,10701,323,Nov
218,Most Difficult Round In Among Us,2020-11-04,68719,8419,126,Nov
219,My New Wireless Gaming Headphones - Logitech G733,2020-11-02,51096,5827,368,Nov
220,New PUBG Map Paramo is Fun,2020-11-01,82086,9802,201,Nov
221,Hackers Saving London,2020-11-01,36331,6086,297,Nov
222,How Girls Play Among Us,2020-10-27,92249,11601,236,Oct
223,200IQ Police Escape after a Jewellery Store Heist - GTA 5 Gameplay,2020-10-24,110337,13545,385,Oct
224,2 Runs 1 Wicket,2020-10-20,253815,16121,424,Oct
225,Techno Gamerz Getting His 1st Win ft. SCOUT,2020-10-14,59377,8355,226,Oct
226,"Funny Among Us Moments ft. Carryminati, Tanmay Bhat, Samay Raina & Many More",2020-10-09,163481,15901,217,Oct
227,First Date Went Wrong in GTA 5,2020-10-04,135264,16637,553,Oct
228,They bullied me so I took the revenge  😈 Among Us,2020-10-02,109719,12970,275,Oct
229,What a Hattrick 😲😱,2020-09-29,141563,9773,232,Sep
230,Robbery in a Haunted House 😲😱 - Horror Game Part 2,2020-09-28,38169,5643,166,Sep
231,Kolkata Knight Riders vs Mumbai Indians (KKR vs MI) IPL 2020 Match Highlights,2020-09-25,120381,8862,252,Sep
232,PUBG Mobile Pros were Impressed by my Skills ft. Scout & Jonathan,2020-09-23,101687,13524,580,Sep
233,RakaZone Gaming Channel Trailer,2020-09-22,217083,15317,631,Sep
234,Robbery In A Haunted House 😲😱 - Horror Game Part 1,2020-09-17,68258,8253,223,Sep
235,GTA 5 Robbery Went Wrong,2020-09-13,119026,15963,560,Sep
236,Among Us Live Stream India With Some Amazing COD Gameplay,2020-09-13,325980,22170,177,Sep
237,KXI Punjab vs Rajasthan IPL 2020 Highlights Cricket Gameplay,2020-09-10,208189,12628,254,Sep
238,I don't give a F**k,2020-09-06,76196,11261,294,Sep
239,HACKER in Fall Guys 😡😡,2020-09-02,99802,11696,384,Sep
240,Free Fire & CSGO in a single Game but its Funny 😂😂,2020-08-30,93439,11503,208,Aug
241,Virat Kohli out on 0* 😱😱,2020-08-27,175823,14770,508,Aug
242,PUBG New update is Fun 😂😂,2020-08-21,97580,11040,201,Aug
243,Happy Independence Day - Minecraft Edition,2020-08-15,53049,9195,513,Aug
244,Tallest Tower In My World • Minecraft Funny Moments,2020-08-03,66775,8773,269,Aug
245,AORUS sent me a RTX Gaming PC 😍😍,2020-07-26,51315,6911,318,Jul
246,Playing Minecraft For The 1st Time,2020-07-05,69305,8973,219,Jul
247,IPL 2020 Chennai Super Kings vs Sunrises Hyderabad Match 1 Cricket Gameplay,2020-06-28,159696,14701,592,Jun
248,GTA 5 Secret Haunted Cave,2020-06-24,91215,11126,300,Jun
249,Scamming Police In GTA 5,2020-06-20,170679,17605,336,Jun
250,Types Of RakaZone Gaming,2020-06-13,144679,15181,554,Jun
251,When Girls Play GTA 5,2020-06-09,241189,22781,454,Jun
252,Meeting a Female Fan in PUBG,2020-05-28,121082,13315,244,May
253,Winning a race in Lamborghini • GTA 5 Funny Moments & Epic Fails,2020-05-10,133205,13633,272,May
254,RakaZone Gaming Playing Valorant For The First Time,2020-05-07,38863,5521,232,May
255,When All Marvel Avengers Superheroes Met,2020-04-30,123398,12090,349,Apr
256,Winning Some Games With Scout OP,2020-04-26,53149,6649,212,Apr
257,India's Got Talent In GTA 5,2020-04-21,192970,19585,618,Apr
258,Surviving In Forest With Friends • The Forest Funny Moments & Epic Fails,2020-04-16,107454,10255,146,Apr
259,Carryminati Reacting On My Sniper Kills,2020-04-11,68228,8215,320,Apr
260,Epic Prison Escape In GTA 5 • GTA 5 Funny Moments & Fails,2020-04-07,328759,22325,385,Apr
261,NEW Resident Evil All Boss Fights (Resident Evil 3 Remake),2020-04-04,31764,3145,59,Apr
262,Escape From Tarkov Funny Moments 🤣😂,2020-03-30,71728,7007,169,Mar
263,My Gaming Logitech G Pro X Headphones Review,2020-03-27,37817,3802,413,Mar
264,Dominating Warzone Lobby With Carryminati,2020-03-21,68658,6836,249,Mar
265,Spiderman In WWE 😍,2020-03-14,40065,4403,200,Mar
266,How To Download Call Of Duty Warzone For FREE on your PC & Laptop,2020-03-12,1200045,27569,1366,Mar
267,Granny 2 Funny Moments & House Escape • Granny Chapter 2 Horror Game,2020-03-08,57833,5678,189,Mar
268,How To Download & Play Escape From Tarkov (EFT),2020-03-03,55233,5210,277,Mar
269,We Made An Award Winning Movie In GTA 5,2020-02-29,112140,11385,424,Feb
270,"We Entered A Haunted House Ft. Carryminati, Gareeb & Tanmay Bhat",2020-02-22,894073,33510,420,Feb
271,PUBG New Map Karakin.exe,2020-02-15,136948,12112,495,Feb
272,Logitech G Presents RakaZoneGaming,2020-02-09,68792,9636,322,Feb
273,GTA 5 Bank Robbery with the help of Police,2020-02-08,247785,20289,481,Feb
274,Carryminati Got Angry On His Teammate During The Live Stream,2020-02-01,289070,18493,251,Feb
275,How To Survive On An Island With Your Friends,2020-01-25,132028,10118,157,Jan
276,"World Full Of Zombies Ft  Carryminati, Gareeb & Tanmay Bhat",2020-01-19,241528,15276,162,Jan
277,India vs Australia Match Highlights With Hindi Commentary (Cricket Gameplay),2020-01-14,162034,9794,264,Jan
278,RakaZone Gaming YouTube Rewind 2019,2020-01-01,106444,16445,505,Jan
279,When Hacker Gets Into Your Lobby • GTA 5 Funny Moments & Epic Fails,2019-12-28,175804,12258,271,Dec
280,RakaZone Gaming Got Reported For Hacking During Live Stream,2019-12-21,57943,5834,309,Dec
281,PUBG Hacker Got Banned During Live Stream,2019-12-08,147382,11015,198,Dec
282,RakaZone Gaming Streaming & Gaming Setup Tour,2019-11-23,351669,27363,843,Nov
283,We Kidnapped & Shaved Police Officer • GTA 5 Funny Moments & Fails (Role Play),2019-11-17,247326,15378,275,Nov
284,"""Sabka Katega"" - Arthur Morgan & Mary Linton Love Story",2019-11-09,49444,3930,121,Nov
285,Call Of Duty Sniper Montage,2019-11-08,46578,5431,181,Nov
286,Top 5 ASUS Gaming Laptops Powered By Intel,2019-11-02,21858,2502,276,Nov
287,ASUS ROG SCAR 3 Gaming Laptop Unboxing & First Impressions,2019-10-30,61818,6894,709,Oct
288,ReUnion With Captain Price • Call Of Duty Modern Warfare 2019 Part 1,2019-10-28,34555,2814,147,Oct
289,250K Subscribers ❤️,2019-10-27,50289,9116,576,Oct
290,GTA 5 Police Shootout During The Bank Robbery • GTA 5 Funny Moments,2019-10-26,155799,11831,204,Oct
291,Police Escape Went Wrong • GTA 5 RP Funny Moments & Fails,2019-10-21,217019,14980,246,Oct
292,Adventurous Date With A Beautiful Girl In GTA 5,2019-10-12,264131,18271,452,Oct
293,RakaZone Gaming Got Kidnapped In GTA 5 • GTA 5 Funny Moments,2019-10-05,302552,18908,361,Oct
294,GTA 5 Longest Police Chase After A Bank Robbery,2019-09-28,267921,16012,276,Sep
295,This Horror Game Will Give You A Heart Attack !!,2019-09-25,101496,7501,244,Sep
296,Paragliding Fail ft. Mortal • GTA 5 Funny Moments & Fails,2019-09-21,301602,18423,385,Sep
297,GTA 5 Role Play In Indian Legacy Servers • GTA 5 Live Stream Powered By OnePlus,2019-09-16,416114,21254,126,Sep
298,GTA 5 Role Play In Indian Legacy Servers • GTA 5 Live Stream Powered By OnePlus,2019-09-13,346375,15935,94,Sep
299,GTA 5 Role Play In Indian Legacy Servers • GTA 5 Live Stream Powered By OnePlus,2019-09-08,451115,19119,306,Sep
300,GTA 5 Bank Robbery With New Lamborghini With Cosmic YT,2019-09-07,304665,16231,269,Sep
301,How Indians Play GTA 5 • GTA 5 Funny Moments & Fails,2019-08-31,510560,24894,521,Aug
302,RakaZone Gaming got Banned in GTA 5 RP,2019-08-24,617505,26340,483,Aug
303,GTA 5 Bank Robbery Epic Fail Ft. Cosmic YT & Yuna Gaming,2019-08-17,328847,13192,204,Aug
304,Winning a PUBG LITE game with DUCKY BHAI,2019-08-10,28273,3153,155,Aug
305,Hijacked GTA 5 Train • GTA 5 Funny Moments and Fails,2019-08-03,296969,15098,373,Aug
306,Best Bomb Defuse Squad • Hand Simulator Funny Moments & Fails,2019-07-27,174416,10397,241,Jul
307,PUBG LITE 25 Kills Amazing Duos Win With HYDRA Flick,2019-07-20,84914,8048,439,Jul
308,Logitech G633S Gaming Headphones Unboxing & Review,2019-07-15,26251,2340,135,Jul
309,"CSGO Funny Moments With Carryminati, Gareeb, Gunshot & Daddy Cool Part 2",2019-07-13,583128,24784,328,Jul
310,ASUS ROG Strix G Unboxing & First Impression By RakaZone Gaming,2019-07-09,102040,4630,372,Jul
311,RakaZone Gaming Got Banned In PUBG Because Of This 😢 😭,2019-06-29,236367,15642,465,Jun
312,How to download PUBG Lite In India For Free,2019-06-27,133220,6761,569,Jun
313,India vs Afghanistan 2019 Highlights • Ashes Cricket Gameplay,2019-06-22,72809,3553,121,Jun
314,India vs New Zealand 2019 Amazing Last Over • Ashes Cricket Gameplay,2019-06-13,204862,6019,269,Jun
315,PUBG Kar98 - 472 Mtr Kill • Indian PUBG Stream Highlights,2019-06-02,60050,5030,314,Jun
316,"NDTV Gadgets 360 Interview Ft  Dynamo Gaming, Mortal & Rav3n PUBG",2019-05-24,737385,32628,1647,May
317,"CSGO Funny Moments With Carryminati, Gunshot, Gareebo & Daddy Cool Part 1",2019-05-11,451204,22119,511,May
318,PUBG - SKRRT Karenge Emiway & Meme Machine Ft. RakaZone Gaming,2019-04-29,80209,5882,368,Apr
319,Granny Using Hacks In This Game • Granny Horror Game HD,2019-04-23,43599,3297,121,Apr
320,Giveaway - One Plus 6T McLaren Edition,2019-04-21,16157,2252,55,Apr
321,Best Flare Gun Drop In PUBG • PUBG Funny Moments & Fails,2019-04-13,110649,7152,271,Apr
